team_id,display_name,team_code,team_short_name
85,F.C. København,FCK,København
293,Brøndby IF,BIF,Brøndby
86,Silkeborg IF,SIF,Silkeborg
939,FC Midtjylland,FCM,Midtjylland
2394,FC Nordsjælland,FCN,Nordsjælland
2447,Viborg FF,VFF,Viborg
2356,Randers FC,RFC,Randers
390,Sønderjyske Fodbold,SJF,Sønderjyske
1789,Odense Boldklub,OB,Odense
2905,Aarhus Gymnastik Forening,AGF,Aarhus
7466,Vejle Boldklub,VB,Vejle
2933,FC Fredericia,FCF,Fredericia
1020,Aalborg BK,AaB,Aalborg
8635,FC Helsingør,FCH,Helsingør
2650,Lyngby BK,LBK,Lyngby
8657,Hvidovre IF,HIF,Hvidovre
211,AC Horsens,ACH,Horsens
1703,Hobro IK,HIK,Hobro
1371,Esbjerg fB,EfB,Esbjerg
2706,Vendsyssel FF,VEN,Vendsyssel
8628,FC Vestsjælland,VSJ,Vestsjælland
6953,HB Køge,HBK,Køge
